date,asset,close,high,low,sector
2026-01-01,AAA,10.00,10.20,9.80,Tech
2026-01-01,BBB,9.50,9.70,9.20,Finance
2026-01-01,CCC,8.00,8.10,7.90,Energy
2026-01-02,AAA,10.20,10.30,10.00,Tech
2026-01-02,BBB,9.45,9.60,9.30,Finance
2026-01-02,CCC,8.10,8.20,7.95,Energy
2026-01-03,AAA,10.30,10.40,10.10,Tech
2026-01-03,BBB,9.40,9.55,9.25,Finance
2026-01-03,CCC,8.25,8.30,8.05,Energy
2026-01-04,AAA,10.15,10.30,10.00,Tech
2026-01-04,BBB,9.55,9.65,9.35,Finance
2026-01-04,CCC,8.18,8.28,8.00,Energy
2026-01-05,AAA,10.40,10.55,10.15,Tech
2026-01-05,BBB,9.60,9.75,9.45,Finance
2026-01-05,CCC,8.22,8.35,8.08,Energy
2026-01-06,AAA,10.55,10.70,10.35,Tech
2026-01-06,BBB,9.48,9.62,9.36,Finance
2026-01-06,CCC,8.35,8.45,8.18,Energy
2026-01-07,AAA,10.70,10.80,10.50,Tech
2026-01-07,BBB,9.38,9.55,9.25,Finance
2026-01-07,CCC,8.48,8.60,8.30,Energy
2026-01-08,AAA,10.68,10.82,10.45,Tech
2026-01-08,BBB,9.42,9.50,9.22,Finance
2026-01-08,CCC,8.44,8.56,8.26,Energy
2026-01-09,AAA,10.85,11.00,10.60,Tech
2026-01-09,BBB,9.32,9.46,9.16,Finance
2026-01-09,CCC,8.58,8.70,8.40,Energy
2026-01-10,AAA,10.95,11.10,10.80,Tech
2026-01-10,BBB,9.28,9.40,9.10,Finance
2026-01-10,CCC,8.66,8.82,8.48,Energy
2026-01-11,AAA,11.05,11.20,10.90,Tech
2026-01-11,BBB,9.20,9.32,9.04,Finance
2026-01-11,CCC,8.74,8.88,8.56,Energy
2026-01-12,AAA,11.18,11.30,11.00,Tech
2026-01-12,BBB,9.18,9.30,9.02,Finance
2026-01-12,CCC,8.80,8.95,8.64,Energy
